86,2419,1095984
30,11311,1095986
11301,30,1095986
11301,30,1095986
11441,30,1095987
30,11412,1095988
30,11443,1095989
30,11301,1095990
30,11301,1095990
30,11301,1095990
30,11301,1095990
30,11432,1095990
11301,30,1095990
19,8851,1095990
11432,30,1095990
60,20319,1095990
32,12639,1095990
43,15822,1095991
44,15962,1095991
86,25988,1095992
11301,30,1095992
44,15962,1095992
56,107,1095992
66,21680,1095992
11301,30,1095993
19,8843,1095993
56,107,1095994
8,8,1095994
30,11301,1095995
30,11301,1095995
30,11301,1095995
56,107,1095995
30,11301,1095996
11301,30,1095996
73,23684,1095996
33,12976,1095997
33,4593,1095997
67,22354,1095998
67,21962,1095998
56,19183,1095999
44,15952,1096001
47,17186,1096001
47,17183,1096002
42,13617,1096002
32,12640,1096003
32,12634,1096003
33,12976,1096003
47,17178,1096003
39,14086,1096004
22355,67,1096004
33,12976,1096005
33,12976,1096005
47,17183,1096005
33,12978,1096006
47,17183,1096006
47,17183,1096006
12978,33,1096007
82,1311,1096007
8,8,1096008
7,2991,1096009
8174,17,1096009
2878,7,1096009
5,2567,1096009
47,17178,1096010
7,2878,1096010
6,107,1096010
31,11686,1096010
17756,52,1096010
9856,25,1096011
11139,29,1096011
8,8,1096012
6,2642,1096012
31,11686,1096012
11686,31,1096012
18573,55,1096012
14,4593,1096012
14,4732,1096012
2878,7,1096013
14,4593,1096013
14,4732,1096013
14,4732,1096013
4732,14,1096013
4594,14,1096013
43,15570,1096014
33,4593,1096014
33,12978,1096014
12976,33,1096014
82,25156,1096014
52,17774,1096014
3039,7,1096014
44,15951,1096015
44,15964,1096015
44,15965,1096015
42,15518,1096015
42,107,1096015
42,2962,1096015
28,107,1096015
41,214,1096015
62,21019,1096015
62,62,1096015
13117,82,1096015
44,15962,1096016
44,15952,1096016
44,15954,1096016
44,15967,1096016
33,12978,1096016
42,107,1096016
42,82,1096016
42,82,1096016
82,42,1096016
82,13253,1096016
17,8142,1096016
52,17753,1096016
41,15181,1096016
41,15181,1096016
62,62,1096016
47,17178,1096017
47,17188,1096017
47,17188,1096017
15,1311,1096017
17189,47,1096017
44,15962,1096018
2878,7,1096018
2878,7,1096018
52,10158,1096018
41,15182,1096018
15182,41,1096018
12979,33,1096018
12980,33,1096018
43,15570,1096019
43,107,1096019
11139,29,1096019
41,15182,1096019
18,8569,1096019
8569,18,1096019
20,2657,1096019
2657,20,1096019
383,4,1096019
4,107,1096019
2647,10,1096019
10,2647,1096019
32,12634,1096020
31,11680,1096020
11139,29,1096020
4,97,1096020
26,9957,1096020
66,59,1096021
66,21679,1096021
8,8,1096021
33,12981,1096021
42,15520,1096021
41,15181,1096021
10,2647,1096021
10,2647,1096021
10,2647,1096021
4268,12,1096021
88,26808,1096021
88,26808,1096021
88,26821,1096021
86,25984,1096022
30,11293,1096022
33,12982,1096022
82,342,1096022
7,3040,1096022
52,17750,1096022
11139,29,1096022
10,2647,1096022
12983,33,1096022
30,11445,1096023
7,2878,1096023
31,11726,1096023
2642,6,1096023
10,2647,1096023
10,2647,1096023
10,2647,1096023
10,2647,1096023
10,2642,1096023
718,43,1096023
15185,41,1096023
44,15951,1096024
44,15953,1096024
41,15186,1096024
16,7700,1096024
2670,10,1096024
17178,47,1096025
62,62,1096025
17753,52,1096025
25383,84,1096025
17782,52,1096025
8,3168,1096026
47,17178,1096026
6,2642,1096026
52,17753,1096026
41,15186,1096026
41,15186,1096026
41,15187,1096026
2,1121,1096026
18,96,1096027
18,96,1096027
33,12976,1096028
33,12976,1096028
33,12976,1096028
33,12976,1096028
